         23704100 function calls (23682054 primitive calls) in 86.091 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_declare_state)
        5    0.000    0.000    0.011    0.002 __init__.py:212(_is_writable_dir)
       19    0.000    0.000    0.002    0.000 __init__.py:2138(normalize_path)
       45    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
     2722    0.001    0.000    0.002    0.000 __init__.py:2142(_normalize_cached)
       32    0.000    0.000    0.000    0.000 __init__.py:2149(_is_unpacked_egg)
     1169    0.003    0.000    0.010    0.000 __init__.py:2165(yield_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:2193(EntryPoint)
        2    0.009    0.004    0.023    0.011 __init__.py:22(<module>)
     3076    0.005    0.000    0.007    0.000 __init__.py:22(find_module)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
        1    0.009    0.009    0.085    0.085 __init__.py:228(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
      290    0.001    0.000    0.190    0.001 __init__.py:2328(_version_from_file)
      870    0.001    0.000    0.002    0.000 __init__.py:2333(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2340(Distribution)
      372    0.002    0.000    0.029    0.000 __init__.py:2344(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
      372    0.005    0.000    0.232    0.001 __init__.py:2356(from_location)
       82    0.000    0.000    0.000    0.000 __init__.py:2373(_reload_version)
        2    0.006    0.003    0.011    0.006 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:241(Verbose)
     1005    0.002    0.000    0.004    0.000 __init__.py:2415(key)
        1    0.000    0.000    0.000    0.000 __init__.py:245(get_supported_platform)
